127.0.0.1 - - [04/Apr/2025:00:10:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 15806
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/images/brownie.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/images/pcake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/images/shop.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:09 +0530] "GET /Cake_Shop/images/bgimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:19 +0530] "GET /Cake_Shop/admin.jsp HTTP/1.1" 200 7712
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:10:28 +0530] "GET /Cake_Shop/admin.jsp?update=user HTTP/1.1" 200 8767
0:0:0:0:0:0:0:1 - - [04/Apr/2025:00:11:15 +0530] "GET /Cake_Shop/admin.jsp HTTP/1.1" 200 7712
