0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:19:45 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:19:45 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:19:45 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:19:45 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:19:45 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:19:47 +0530] "GET /Cake_Shop/images/cake/good HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:19:49 +0530] "GET /Cake_Shop/customized_form.jsp HTTP/1.1" 200 3022
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:22:11 +0530] "GET /Cake_Shop/customized_form.jsp HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:22:11 +0530] "GET /Cake_Shop/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:22:15 +0530] "GET /Cake_Shop/customized_form.jsp HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:22:15 +0530] "GET /Cake_Shop/styles.css HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:26:40 +0530] "GET /Cake_Shop/customized_form.jsp HTTP/1.1" 200 5337
0:0:0:0:0:0:0:1 - - [22/Jan/2025:20:26:52 +0530] "GET /Cake_Shop/customized_form.jsp HTTP/1.1" 200 5337
