0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:59 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:59 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:59 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:59 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:59 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:59 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:59 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:29:59 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:08 +0530] "GET /Cake_Shop/cakedetail.jsp?cid=8 HTTP/1.1" 200 6204
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:08 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:08 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:08 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:08 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:13 +0530] "GET /Cake_Shop/AddCart_servlet?pid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:13 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 12486
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:13 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:13 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:13 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:13 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:15 +0530] "GET /Cake_Shop/quantityIncrease_servlet?cid=56 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:15 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 12254
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:15 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:15 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:15 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:15 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16589
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:22 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:27 +0530] "GET /Cake_Shop/AddCart_servlet?pid=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:28 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 13926
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:28 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:28 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:28 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:28 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:36 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 12339
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:36 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:36 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:36 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:30:36 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:15 +0530] "POST /Cake_Shop/Addprofile_servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:15 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10551
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:15 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:15 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:15 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:15 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:15 +0530] "GET /Cake_Shop/images/download.jpeg HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:31 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 13678
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:31 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:31 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:31 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:31 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:35 +0530] "GET /Cake_Shop/placeorder.jsp HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:35 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:35 +0530] "GET /Cake_Shop/images/food/sample.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Feb/2025:20:31:35 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
