0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:10 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 12335
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:11 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:11 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:11 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:11 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:24 +0530] "GET /Cake_Shop/login.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:24 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:24 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:24 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:24 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "POST /Cake_Shop/Login_servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16154
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [06/Apr/2025:11:02:33 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
