0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16813
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:50 +0530] "GET /Cake_Shop/AddCart_servlet?pid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:50 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:50 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:50 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:50 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
