127.0.0.1 - - [27/Mar/2025:13:51:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 16464
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:45 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:51:58 +0530] "GET /Cake_Shop/admin.jsp HTTP/1.1" 200 5922
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:55:45 +0530] "GET /Cake_Shop/admin.jsp HTTP/1.1" 200 5942
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:55:49 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5942
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:57:43 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:57:47 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:57:50 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:58:06 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:58:12 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5247
0:0:0:0:0:0:0:1 - - [27/Mar/2025:13:58:54 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5292
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:00:31 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:08 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:09 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:10 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:10 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5758
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:44 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:45 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:45 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:46 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:46 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:46 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:46 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:46 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:47 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:01:51 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 5869
0:0:0:0:0:0:0:1 - - [27/Mar/2025:14:05:43 +0530] "GET /Cake_Shop/admin.jsp?update=true HTTP/1.1" 200 6127
