127.0.0.1 - - [26/Mar/2025:20:23:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 16464
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/brownie.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/pcake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/cake/b1.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/cake/b2.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/cake/b3.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/cake/b4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/cake/b6.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:57 +0530] "GET /Cake_Shop/images/shop.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:23:59 +0530] "GET /Cake_Shop/images/bgimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:24:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:21 +0530] "GET /Cake_Shop/register.jsp HTTP/1.1" 200 6655
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:21 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:21 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:21 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:21 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:33 +0530] "GET /Cake_Shop/login.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:33 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:33 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:33 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:26:33 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "POST /Cake_Shop/Login_servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16813
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:01 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:07 +0530] "GET /Cake_Shop/cakedetail.jsp?cid=8 HTTP/1.1" 200 6204
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:07 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:07 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:07 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:07 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:15 +0530] "GET /Cake_Shop/cakedetail.jsp?cid=11 HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:15 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:15 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:15 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:15 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:22 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:22 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:22 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:22 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:22 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:41 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5455
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:41 +0530] "GET /Cake_Shop/images/food/b4.webp HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:41 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:29:41 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:16 +0530] "GET /Cake_Shop/admin.jsp HTTP/1.1" 200 5922
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:56 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16587
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:56 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:56 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:56 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:56 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:57 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:57 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:57 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:57 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:57 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:30:57 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:47 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:47 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16587
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:48 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16587
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:31:54 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:00 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10312
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:00 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:00 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:00 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:00 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:00 +0530] "GET /Cake_Shop/images/download.jpeg HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:31 +0530] "GET /Cake_Shop/editprofile.jsp HTTP/1.1" 200 5183
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:31 +0530] "GET /Cake_Shop/nav.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:32:41 +0530] "POST /Cake_Shop/updateprofile_servlet HTTP/1.1" 500 1653
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:06 +0530] "POST /Cake_Shop/updateprofile_servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:06 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10549
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:06 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:06 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:06 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:06 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:06 +0530] "GET /Cake_Shop/images/step6%20(4).png HTTP/1.1" 200 416327
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 16587
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:14 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:35 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:35 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:35 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:35 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:35 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:39 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5455
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:39 +0530] "GET /Cake_Shop/Images/minus.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:39 +0530] "GET /Cake_Shop/images/food/b4.webp HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:33:39 +0530] "GET /Cake_Shop/Images/add.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:34:13 +0530] "GET /Cake_Shop/quantityDecrease_servlet?cid=55 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:34:13 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [26/Mar/2025:20:34:13 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
