127.0.0.1 - - [05/Apr/2025:18:28:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:28:54 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:28:54 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:28:54 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:28:54 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:28:54 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:28:54 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:28:54 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:28:54 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:00 +0530] "GET /Cake_Shop/cakedetail.jsp?cid=9 HTTP/1.1" 200 6202
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:00 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:00 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:00 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:00 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:04 +0530] "GET /Cake_Shop/cart.jsp HTTP/1.1" 200 5928
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:05 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:05 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:05 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:05 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:29:08 +0530] "POST /Cake_Shop/placeorder.jsp HTTP/1.1" 200 5101
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:06 +0530] "GET /Cake_Shop/profile.jsp HTTP/1.1" 200 10449
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:06 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:06 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:06 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:06 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:06 +0530] "GET /Cake_Shop/images/step6%20(4).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:57 +0530] "GET /Cake_Shop/index.jsp HTTP/1.1" 200 15929
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:57 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:57 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:57 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:57 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:57 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:57 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:58 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:58 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:58 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [05/Apr/2025:18:30:58 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
